#HF transmitted power data for 2017-06-26
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

14:06:26.365,      ,000967,      ,000336,      ,000162,      ,000600,      ,000361,      ,000486,0.61663
14:06:27.395,      ,000970,      ,000344,      ,000177,      ,000604,      ,000666,      ,000472,0.60597
14:06:28.424,      ,000846,      ,000341,      ,000179,      ,000606,      ,000660,      ,000784,0.60989
14:06:29.454,      ,000970,      ,000349,      ,000179,      ,000603,      ,000653,      ,000477,0.60892
14:06:30.483,      ,000990,      ,000347,      ,000173,      ,000593,      ,000655,      ,000473,0.60851
14:06:31.514,      ,000990,      ,000351,      ,000182,      ,000602,      ,000664,      ,000474,0.60642
14:06:32.540,      ,000794,      ,000354,      ,000184,      ,000607,      ,000657,      ,000472,0.60724
14:06:33.570,      ,000946,      ,000349,      ,000185,      ,000603,      ,000662,      ,000468,0.61170
14:06:34.601,      ,000949,      ,000341,      ,000178,      ,000601,      ,000659,      ,000467,0.60734
14:06:35.630,      ,000941,      ,000329,      ,000175,      ,000603,      ,000668,      ,000467,0.60711
14:06:36.663,      ,000834,      ,000334,      ,000176,      ,001040,      ,000664,      ,000467,0.62029
14:06:37.692,      ,000964,      ,000343,      ,000182,      ,000609,      ,000672,      ,000471,0.60450
14:06:38.722,      ,000958,      ,000342,      ,000267,      ,000613,      ,000674,      ,000460,0.60802
14:06:39.752,      ,000945,      ,000322,      ,000167,      ,000607,      ,000674,      ,000776,0.61357
14:06:40.782,      ,000807,      ,000317,      ,000166,      ,000607,      ,000670,      ,000464,0.61060
14:06:41.816,      ,000928,      ,000085,      ,000170,      ,001061,      ,000674,      ,000479,0.61680
14:06:42.847,      ,000939,      ,000324,      ,000162,      ,000602,      ,000679,      ,000489,0.60700
14:06:43.877,      ,000944,      ,000083,      ,000161,      ,000601,      ,000680,      ,000478,0.61298
14:06:44.904,      ,000813,      ,000324,      ,000162,      ,000601,      ,000687,      ,000498,0.61165
14:06:45.934,      ,000989,      ,000335,      ,000167,      ,000600,      ,000682,      ,000494,0.60773
14:06:46.970,      ,000962,      ,000324,      ,000161,      ,000604,      ,000678,      ,000507,0.60338
14:06:47.999,      ,000977,      ,000329,      ,000168,      ,000595,      ,000669,      ,000486,0.61076
14:06:49.030,      ,000787,      ,000324,      ,000157,      ,000594,      ,000369,      ,000507,0.61581
14:06:50.060,      ,000971,      ,000320,      ,000274,      ,000597,      ,000655,      ,000486,0.60952
14:06:51.088,      ,000970,      ,000317,      ,000169,      ,000599,      ,000647,      ,000490,0.60875
14:06:52.122,      ,001000,      ,000323,      ,000166,      ,000594,      ,000640,      ,000485,0.60416
14:06:53.152,      ,000777,      ,000318,      ,000165,      ,000595,      ,000639,      ,000484,0.61077
14:06:54.182,      ,000997,      ,000325,      ,000172,      ,000603,      ,000634,      ,000480,0.60438
